supplier_id,supplier_name,city,otif_pct,avg_lead_time,quality_reject,fill_rate,capacity_util,payment_compliance,color
SUP-0138,Keeros Foods,Mumbai,96.16,4.77,2.57,93.82,80.4,79.37,AMBER
SUP-0032,Motherson Sumi,Vadodara,98.32,12.77,3.08,93.66,72.96,81.08,AMBER
SUP-0064,Murudeshwar Ceramics,Nagpur,43.52,32.77,4.97,79.35,92.36,77.72,RED
SUP-0190,Aisin India,Pune,63.73,11.72,2.52,80.6,86.5,81.46,RED
SUP-0028,Time Technoplast,Pune,81.94,24.59,2.2,92.89,78.49,77.8,AMBER
SUP-0097,Owens Corning India,Surat,86.84,40.96,5.91,92.43,76.25,80.86,RED
SUP-0074,Yoga Bar Supply,Nagpur,76.94,26.81,4.78,81.64,78.73,83.52,RED
SUP-0055,SKF Bearings India,Ahmedabad,84.22,21.28,2.05,93.36,80.19,78.5,AMBER
SUP-0067,mCaffeine Supply,Jaipur,60.41,25.75,1.91,79.59,86.69,79.45,RED
SUP-0039,Ultratech Supply,Meerut,84.72,10.38,3.03,93.49,77.17,77.22,AMBER
SUP-0174,Kirloskar Pumps,Surat,74.33,28.8,1.45,87.35,83.51,79.32,RED
SUP-0147,Doodle Supply,Surat,91.73,20.88,1.42,92.74,76.56,81.54,AMBER
SUP-0187,Somany Ceramics,Varanasi,86.24,16.08,3.31,89.1,79.79,80.7,AMBER
SUP-0137,Muscleblaze Supply,Ahmedabad,58.38,29.8,2.08,81.9,82.99,80.46,RED
SUP-0151,Nitco Tiles,Delhi,83.05,19.62,1.96,89.07,78.12,79.91,AMBER
SUP-0155,KPIT Technologies,Ahmedabad,92.59,7.95,2.2,94.21,77.22,76.84,AMBER
SUP-0114,Khadi Natural,Pune,99.32,10.2,2.38,93.39,76.74,78.06,AMBER
SUP-0079,PPG Industries India,Pune,98.83,25.2,3.59,93.3,77.64,78.32,AMBER
SUP-0165,Plum Goodness Supply,Surat,87.19,8.6,3.41,92.54,78.3,77.74,AMBER
SUP-0077,Avvatar Proteins,Pune,50.31,19.07,2.39,78.95,87.91,79.52,RED
SUP-0197,Philips India,Coimbatore,95.47,10.61,2.02,92.72,75.88,81.94,AMBER
SUP-0191,UNO Minda,Indore,91.75,11.49,2.07,94.08,76.76,78.66,AMBER
SUP-0110,Luminous Power,Hyderabad,52.38,13.17,2.71,78.43,90.79,80.03,RED
SUP-0019,Hamdard India,Mumbai,76.3,10.8,2.05,85.89,81.67,78.15,RED
SUP-0168,Campus Activewear Supply,Hyderabad,57.45,11.24,2.71,80.73,87.48,80.36,RED
SUP-0094,Faurecia India,Delhi,95.12,21.03,1.91,93.22,77.04,79.55,AMBER
SUP-0180,Larsen Industrial,Mumbai,96.21,32.56,2.55,93.25,77.2,80.07,AMBER
SUP-0062,Asahi India Glass,Nagpur,78.18,15.65,2.24,82.35,76.43,80.11,RED
SUP-0046,Anand Automotive,Indore,72.15,9.25,3.46,77.68,82.24,80.01,RED
SUP-0101,Vasavadatta Cement,Nagpur,60.98,15.59,2.63,81.97,86.22,77.08,RED
SUP-0009,Heidelberg India,Madurai,79.09,24.57,4.71,87.82,75.3,77.61,RED
SUP-0198,3M India,Surat,51.49,13.28,2.36,79.13,88.96,80.8,RED
SUP-0058,BASF India,Varanasi,91.72,34.9,4.11,92.82,74.34,79.25,AMBER
SUP-0196,Simpolo Vitrified,Ludhiana,97.36,16.46,2.17,93.22,80.72,79.35,AMBER
SUP-0139,Jotun India,Nagpur,97.12,11.17,2.22,92.09,77.08,82.53,AMBER
SUP-0088,Henkel India,Bangalore,78.71,12.03,2.15,85.68,78.77,81.13,RED
SUP-0111,Kajaria Ceramics,Ludhiana,89.42,16.13,2.28,93.14,78.97,78.77,AMBER
SUP-0013,Cummins India,Delhi,98.92,15.05,1.72,92.86,75.77,77.16,AMBER
SUP-0163,Crompton Greaves,Delhi,87.51,10.5,2.83,94.21,75.06,80.76,AMBER
SUP-0128,Nourish You,Varanasi,65.0,8.13,2.78,83.28,85.13,80.38,RED
SUP-0026,Bajaj Components,Delhi,88.41,35.98,4.49,91.29,76.07,79.65,AMBER
SUP-0159,Kakatiya Cement,Meerut,66.72,8.35,2.85,87.58,83.1,80.01,RED
SUP-0007,Marico Supply,Hyderabad,52.18,10.5,2.16,79.77,90.92,81.97,RED
SUP-0069,Forest Essentials,Jaipur,85.53,5.58,1.77,89.27,79.92,78.32,AMBER
SUP-0025,NatureLand Organics,Hyderabad,84.36,14.41,2.18,93.62,82.44,82.13,AMBER
SUP-0195,Shree Cement,Nagpur,90.31,15.94,4.62,94.56,78.63,77.41,AMBER
SUP-0086,Liberty Shoes Supply,Ahmedabad,88.26,24.74,2.76,93.72,79.28,82.83,AMBER
SUP-0143,Johnson Tiles,Chennai,99.73,25.05,2.46,92.28,77.32,78.23,AMBER
SUP-0093,ACC Cement Supply,Vadodara,77.65,22.89,4.7,83.41,75.64,80.38,RED
SUP-0054,Orient Cement,Nagpur,93.44,20.53,2.23,93.73,80.09,82.55,AMBER
SUP-0105,Bestone Ceramic,Indore,47.53,27.74,2.9,80.32,90.74,74.63,RED
SUP-0005,Sunhearrt Ceramic,Jabalpur,51.27,15.97,2.18,80.26,88.96,79.28,RED
SUP-0091,Nutty Yogi,Hyderabad,83.91,13.32,2.82,93.4,79.83,77.56,AMBER
SUP-0194,Charak Pharma,Surat,47.95,11.08,3.16,82.09,92.47,79.76,RED
SUP-0144,Navdanya Supply,Mumbai,72.7,24.07,2.57,83.81,82.05,82.24,RED
SUP-0070,Asian Granito,Pune,79.46,44.57,4.58,84.77,75.92,78.19,RED
SUP-0084,Dalmia Bharat,Rajkot,70.9,18.57,4.93,79.02,84.4,79.79,RED
SUP-0134,Sorich Organics,Jodhpur,87.11,35.01,3.68,94.1,79.06,80.13,AMBER
SUP-0158,Phalada Pure,Delhi,99.1,16.01,2.06,93.62,77.85,80.41,AMBER
SUP-0092,Mokobara Supply,Nagpur,94.57,18.69,1.93,92.74,75.57,80.05,AMBER
SUP-0098,Bajaj Electricals,Coimbatore,96.74,34.9,2.3,94.42,76.43,77.09,AMBER
SUP-0030,Samvardhana Motherson,Mumbai,78.91,8.25,2.21,84.99,78.12,78.24,RED
SUP-0021,Neemans,Jaipur,74.29,9.83,2.14,79.78,77.11,77.19,RED
SUP-0051,Suprajit Engineering,Meerut,92.78,11.08,2.77,93.91,76.21,79.8,AMBER
SUP-0146,Oziva Supply,Bangalore,85.27,22.51,4.68,88.35,79.38,80.29,AMBER
SUP-0001,Biotique,Madurai,94.32,39.7,5.18,92.89,75.12,79.8,RED
SUP-0156,Vedix Supply,Vadodara,80.39,20.22,2.39,87.49,78.11,78.6,AMBER
SUP-0127,Continental India,Coimbatore,95.8,4.38,2.08,93.23,79.08,81.16,AMBER
SUP-0047,Ramkrishna Forgings,Hyderabad,59.4,4.42,2.88,81.96,86.55,79.56,RED
SUP-0133,Zandu Pharma,Surat,93.26,11.42,2.04,94.43,77.75,78.78,AMBER
SUP-0149,24 Mantra Organic,Jodhpur,98.6,15.57,3.34,93.4,76.71,80.12,AMBER
SUP-0130,Arya Vaidya Pharmacy,Pune,91.47,23.94,2.82,91.91,76.05,82.55,AMBER
SUP-0048,Orient Electric,Bangalore,99.38,25.92,2.64,93.83,76.18,77.9,AMBER
SUP-0061,Endurance Technologies,Indore,94.28,37.52,5.34,93.86,77.69,81.06,RED
SUP-0060,Organic India,Vadodara,96.12,16.24,2.75,93.47,77.37,77.89,AMBER
SUP-0193,Bharat Electronics,Surat,95.49,12.2,2.9,93.04,77.69,82.95,AMBER
SUP-0124,Sara Industries,Indore,91.87,12.55,2.2,91.8,75.34,77.36,AMBER
SUP-0103,Hindustan Zinc,Vadodara,96.88,18.81,2.35,93.04,79.15,83.04,AMBER
SUP-0023,Zuari Cement,Hyderabad,89.28,20.38,2.22,91.87,75.17,77.3,AMBER
SUP-0052,GKN Driveline India,Bangalore,42.44,39.38,4.69,77.36,93.05,80.97,RED
SUP-0045,Minda Corp,Jabalpur,61.07,19.75,2.71,85.35,83.17,79.37,RED
SUP-0082,Fit & Flex Supply,Vadodara,46.58,12.16,2.95,79.84,92.26,77.84,RED
SUP-0085,Honeywell Materials,Surat,99.81,14.32,2.18,93.01,77.5,77.69,AMBER
SUP-0078,Action Shoes Supply,Rajkot,73.46,32.12,2.28,79.01,77.78,81.87,RED
SUP-0100,Dabur Herbal,Delhi,82.65,31.77,4.09,91.57,80.09,79.61,AMBER
SUP-0173,Saint-Gobain India,Jaipur,84.91,29.95,3.74,92.91,77.3,81.27,AMBER
SUP-0063,The Souled Store Supply,Mumbai,62.68,8.82,3.32,80.05,84.05,81.39,RED
SUP-0186,Bharat Forge,Nagpur,95.78,10.38,2.11,93.52,75.34,77.14,AMBER
SUP-0089,Conscious Food,Coimbatore,70.08,42.05,4.84,78.03,83.14,76.69,RED
SUP-0181,Sampurn Earth,Meerut,83.55,5.19,2.44,93.06,76.36,82.58,AMBER
SUP-0112,Asian Paints Inputs,Jaipur,49.95,5.29,3.12,78.88,91.98,79.46,RED
SUP-0044,Baba Ramdev Supply,Jaipur,68.85,21.78,5.17,81.11,88.24,79.71,RED
SUP-0034,RiteBite Max Protein,Jabalpur,79.54,14.15,2.9,87.07,73.78,80.24,RED
SUP-0126,JK Cement,Hyderabad,80.93,23.83,2.25,88.45,78.25,79.34,AMBER
SUP-0071,Rostaa,Raipur,44.98,7.22,2.38,78.42,90.97,76.22,RED
SUP-0145,Maha Cement,Jaipur,52.02,7.05,2.7,78.14,87.65,79.59,RED
SUP-0192,Amrita,Chennai,83.12,29.81,4.53,92.55,77.47,77.03,AMBER
SUP-0096,Ramco Cements,Delhi,86.73,9.22,2.36,93.09,75.32,74.8,AMBER
SUP-0164,Wellbeing Nutrition,Surat,76.08,38.85,4.83,78.51,75.46,75.29,RED
SUP-0148,Disguise Supply,Mumbai,91.88,12.74,3.38,93.95,79.35,81.97,AMBER
SUP-0177,Foxtale Supply,Hyderabad,51.63,7.42,3.21,80.46,88.31,77.8,RED
SUP-0162,Adani Wilmar Supply,Jaipur,88.25,16.58,2.57,93.9,77.87,80.47,AMBER
SUP-0121,Nirogam,Bangalore,58.74,7.49,2.84,79.79,89.88,78.32,RED
SUP-0167,Praakritik,Ahmedabad,93.98,24.91,2.96,94.17,78.14,77.25,AMBER
SUP-0011,Kama Ayurveda,Nagpur,99.42,22.66,3.39,93.26,75.47,76.62,AMBER
SUP-0188,Euro Ceramic,Nagpur,71.1,14.13,2.55,87.54,85.75,78.08,RED
SUP-0087,Tenneco India,Pune,84.94,19.77,2.36,88.72,82.01,78.12,AMBER
SUP-0041,Sitaram Ayurveda,Madurai,97.58,9.78,2.77,94.1,78.51,79.55,AMBER
SUP-0189,Kapiva,Coimbatore,64.55,6.25,2.86,86.59,86.24,77.35,RED
SUP-0004,Pilgrim Supply,Rajkot,49.92,21.12,2.25,79.04,89.92,81.75,RED
SUP-0157,KEI Industries,Mumbai,70.28,15.55,2.94,83.35,85.51,80.63,RED
SUP-0170,Earth Rhythm Supply,Delhi,55.14,14.1,2.31,80.03,90.0,81.38,RED
SUP-0081,Farmley,Nagpur,54.88,27.54,1.8,79.58,90.94,76.65,RED
SUP-0083,Kansai Nerolac,Chennai,79.38,16.99,2.21,83.84,79.3,79.37,RED
SUP-0076,Unjha Pharma,Mumbai,92.94,10.88,2.24,93.21,77.79,79.45,AMBER
SUP-0012,Polycab India,Raipur,97.24,15.74,1.97,94.18,82.01,78.81,AMBER
SUP-0040,Emami Agrotech,Ahmedabad,95.65,18.62,3.05,93.77,74.46,84.37,AMBER
SUP-0115,Precision Castparts,Nagpur,95.73,11.71,1.97,93.22,74.78,78.26,AMBER
SUP-0106,Goodwill Ceramic,Indore,85.76,18.38,3.65,92.01,76.97,78.0,AMBER
SUP-0073,Guardian Industries India,Vadodara,98.53,17.04,2.67,93.25,75.53,78.38,AMBER
SUP-0135,Sona BLW Precision,Jaipur,94.59,19.12,3.32,94.07,77.29,81.64,AMBER
SUP-0104,Gabriel India,Chennai,91.62,7.08,3.02,93.15,75.88,80.1,AMBER
SUP-0065,Dabur India Supply,Madurai,61.41,15.98,2.45,80.04,86.46,77.84,RED
SUP-0036,Ecotyl,Raipur,56.37,9.49,2.06,81.09,89.48,80.94,RED
SUP-0107,Minda Industries,Varanasi,84.02,13.08,2.72,92.14,80.73,81.29,AMBER
SUP-0185,The Derma Co Supply,Pune,98.17,21.57,1.77,93.4,76.28,74.98,AMBER
SUP-0075,Holcim India,Jaipur,69.25,29.94,2.87,86.2,84.45,78.22,RED
SUP-0175,Valeo India,Ludhiana,84.02,19.84,5.1,90.34,77.91,81.46,RED
SUP-0199,Denso India,Coimbatore,98.29,9.48,2.05,92.53,72.35,79.35,AMBER
SUP-0006,Jtekt India,Hyderabad,90.28,16.02,2.55,93.97,74.2,78.25,AMBER
SUP-0125,Mamaearth Supply,Ludhiana,65.76,11.89,2.36,82.46,84.61,79.86,RED
SUP-0066,Bell Ceramics,Madurai,89.47,29.88,2.46,93.0,76.82,80.12,AMBER
SUP-0142,TVS Supply Chain,Nagpur,89.49,25.52,2.61,94.25,77.44,78.74,AMBER
SUP-0132,Nexion Ceramic,Pune,58.58,13.51,2.81,79.35,87.2,78.47,RED
SUP-0153,Panasonic India,Bangalore,92.38,7.7,2.13,93.27,83.04,80.06,AMBER
SUP-0179,AGC India,Vadodara,84.8,8.6,2.12,92.38,78.54,80.29,AMBER
SUP-0102,Responsive Industries,Mumbai,91.1,9.6,2.3,93.68,76.49,77.27,AMBER
SUP-0117,Reliance Polymers,Meerut,75.08,16.93,3.17,80.6,83.21,76.09,RED
SUP-0008,Tata Steel Components,Chennai,85.19,8.57,2.75,91.53,76.94,81.8,AMBER
SUP-0109,Sherwin Williams India,Surat,88.97,33.02,6.35,92.69,72.01,79.51,RED
SUP-0169,Paragon Supply,Coimbatore,60.22,40.71,3.52,79.04,87.4,77.8,RED
SUP-0152,Organic Tattva,Nagpur,50.28,30.28,4.86,79.7,93.26,78.61,RED
SUP-0016,NRB Bearings,Vadodara,93.9,21.42,2.67,93.59,80.28,80.4,AMBER
SUP-0161,Just Herbs,Pune,47.46,44.75,3.49,78.36,90.8,81.76,RED
SUP-0166,Pidilite Industries,Indore,81.38,15.17,4.47,89.13,76.78,80.15,AMBER
SUP-0120,Amara Raja Batteries,Ahmedabad,50.23,10.47,2.4,78.25,90.5,77.89,RED
SUP-0050,Hero Metal Works,Nagpur,49.12,43.99,4.81,81.01,89.82,78.58,RED
SUP-0141,NSK India,Indore,92.48,12.55,3.1,93.0,76.58,79.65,AMBER
SUP-0136,Aamra Supply,Coimbatore,86.99,9.24,2.68,92.96,78.11,81.21,AMBER
SUP-0035,Finolex Cables,Indore,52.48,27.87,4.42,80.67,88.86,78.97,RED
SUP-0122,Lavanya Tiles,Surat,53.33,23.2,4.15,79.82,87.85,80.09,RED
SUP-0095,Nilkamal,Ludhiana,90.94,8.39,2.15,92.81,77.59,74.36,AMBER
SUP-0099,AkzoNobel India,Ludhiana,83.59,16.9,2.55,93.45,77.29,77.88,AMBER
SUP-0123,Urban Platter,Mumbai,64.39,10.43,3.15,85.94,83.61,77.9,RED
SUP-0059,Orientbell Tiles,Coimbatore,63.4,12.26,2.79,78.58,87.76,80.26,RED
SUP-0182,Subros Limited,Ludhiana,74.29,12.0,3.34,87.95,83.01,78.6,RED
SUP-0027,Lotus Herbals,Vadodara,96.66,19.45,2.64,94.4,78.0,79.42,AMBER
