po_id,sku_id,supplier_id,po_date,is_weekend_po,quantity_ordered,total_value_inr,expected_delivery_date,actual_delivery_date,delivered_on_time,days_late,quantity_delivered,quality_status,payment_status
PO-000032,SKU-00416,SUP-0114,2024-05-27,0,1749,9932276.3,2024-06-05,2024-06-04,1,0,1718,Accepted,Paid
PO-000033,SKU-00007,SUP-0009,2023-12-28,0,738,64899.14,2024-01-22,2024-01-20,1,0,698,Accepted,Pending
PO-000034,SKU-00500,SUP-0068,2023-11-16,0,924,2017610.21,2023-11-29,2023-11-27,1,0,850,Accepted,Paid
PO-000035,SKU-00172,SUP-0098,2024-12-24,0,2232,6485908.36,2025-01-26,2025-01-23,1,0,2136,Accepted,Paid
PO-000036,SKU-00485,SUP-0025,2024-09-10,0,599,3562204.24,2024-09-24,2024-09-24,1,0,551,Accepted,Paid
PO-000037,SKU-00097,SUP-0172,2023-03-17,0,501,2974045.5,2023-03-22,2023-03-22,1,0,468,Accepted,Paid
PO-000038,SKU-00242,SUP-0112,2024-10-09,0,760,388220.77,2024-10-14,2024-10-14,1,0,704,Accepted,Paid
PO-000039,SKU-00377,SUP-0102,2023-03-03,0,25,1070.71,2023-03-13,2023-03-12,1,0,24,Accepted,Overdue
PO-000040,SKU-00367,SUP-0178,2024-03-26,0,389,692962.59,2024-04-07,2024-04-07,1,0,386,Partially Rejected,Paid
PO-000041,SKU-00337,SUP-0065,2024-09-27,0,90,48014.8,2024-10-13,2024-10-14,0,1,87,Accepted,Pending
PO-000042,SKU-00023,SUP-0116,2024-08-20,0,1859,5176372.33,2024-09-11,2024-09-13,0,2,1834,Accepted,Paid
PO-000043,SKU-00326,SUP-0059,2023-04-08,1,216,2608263.82,2023-04-20,2023-04-23,0,3,206,Accepted,Paid
PO-000044,SKU-00286,SUP-0060,2024-12-08,1,2289,85505506.58,2024-12-23,2024-12-28,0,5,2174,Accepted,Paid
PO-000045,SKU-00393,SUP-0136,2023-07-30,1,173,78145.55,2023-08-08,2023-08-10,0,2,161,Accepted,Paid
PO-000046,SKU-00450,SUP-0008,2023-06-10,1,860,7678121.88,2023-06-18,2023-06-19,0,1,843,Partially Rejected,Paid
PO-000047,SKU-00193,SUP-0179,2024-08-26,0,4974,342521.87,2024-09-03,2024-09-04,0,1,4930,Accepted,Paid
PO-000048,SKU-00296,SUP-0124,2023-12-14,0,2187,2199982.52,2023-12-26,2023-12-27,0,1,2016,Accepted,Paid
PO-000049,SKU-00014,SUP-0168,2024-02-19,0,34,65491.81,2024-03-01,2024-02-29,1,0,30,Partially Rejected,Paid
PO-000050,SKU-00192,SUP-0079,2023-06-02,0,93,585498.22,2023-06-26,2023-06-25,1,0,91,Accepted,Paid
PO-000051,SKU-00417,SUP-0023,2024-04-04,0,68,12664.06,2024-04-23,2024-04-23,1,0,61,Accepted,Pending
PO-000052,SKU-00372,SUP-0042,2023-11-04,1,96,109908.37,2023-11-20,2023-11-24,0,4,93,Accepted,Paid
PO-000053,SKU-00331,SUP-0192,2023-01-05,0,1869,31143345.54,2023-02-02,2023-02-06,0,4,1777,Accepted,Paid
PO-000054,SKU-00187,SUP-0140,2023-01-06,0,374,75132.49,2023-02-03,2023-02-02,1,0,364,Accepted,Paid
PO-000055,SKU-00294,SUP-0171,2024-05-18,1,950,339481.06,2024-07-01,2024-07-12,0,11,927,Accepted,Paid
PO-000056,SKU-00220,SUP-0108,2024-12-01,1,1588,602132.11,2024-12-06,2024-12-07,0,1,1534,Accepted,Paid
PO-000057,SKU-00213,SUP-0019,2023-05-15,0,3294,11518996.86,2023-05-26,2023-05-26,1,0,3153,Accepted,Paid
PO-000058,SKU-00002,SUP-0056,2023-10-23,0,226,184847.84,2023-11-16,2023-11-13,1,0,225,Accepted,Paid
PO-000059,SKU-00453,SUP-0053,2024-07-09,0,903,14536292.69,2024-08-10,2024-08-09,1,0,823,Partially Rejected,Pending
PO-000060,SKU-00311,SUP-0111,2024-11-10,1,369,549781.77,2024-11-26,2024-11-30,0,4,362,Accepted,Paid
PO-000061,SKU-00036,SUP-0170,2024-11-14,0,84,549685.61,2024-11-28,2024-11-27,1,0,83,Accepted,Pending
PO-000062,SKU-00166,SUP-0127,2024-06-15,1,1753,9627560.22,2024-06-19,2024-06-20,0,1,1752,Accepted,Paid
PO-000063,SKU-00014,SUP-0168,2023-10-12,0,53,104078.35,2023-10-23,2023-10-22,1,0,52,Accepted,Pending
PO-000064,SKU-00208,SUP-0079,2024-09-30,0,349,15197475.41,2024-10-24,2024-10-22,1,0,323,Fully Rejected,Paid
PO-000065,SKU-00082,SUP-0152,2023-11-01,0,3905,40495729.18,2023-11-29,2023-12-02,0,3,3665,Partially Rejected,Paid
PO-000066,SKU-00449,SUP-0160,2024-09-18,0,46,202316.37,2024-10-02,2024-10-04,0,2,44,Accepted,Paid
PO-000067,SKU-00314,SUP-0100,2024-02-15,0,61,551250.98,2024-03-18,2024-03-15,1,0,59,Accepted,Paid
PO-000068,SKU-00383,SUP-0184,2024-06-30,1,365,332739.44,2024-07-07,2024-07-08,0,1,363,Accepted,Paid
PO-000069,SKU-00265,SUP-0190,2024-08-19,0,71,3253.41,2024-08-31,2024-09-01,0,1,70,Accepted,Pending
PO-000070,SKU-00089,SUP-0174,2024-04-25,0,71,2229089.44,2024-05-24,2024-05-27,0,3,70,Accepted,Pending
PO-000071,SKU-00094,SUP-0144,2023-12-19,0,328,2604716.47,2024-01-12,2024-01-11,1,0,304,Accepted,Paid
PO-000072,SKU-00102,SUP-0165,2024-07-01,0,1041,33847.69,2024-07-09,2024-07-08,1,0,948,Accepted,Overdue
PO-000073,SKU-00198,SUP-0154,2023-11-11,1,114,4735.26,2023-11-20,2023-11-22,0,2,103,Accepted,Paid
PO-000074,SKU-00155,SUP-0120,2023-09-02,1,157,1412860.41,2023-09-12,2023-09-14,0,2,152,Partially Rejected,Overdue
PO-000075,SKU-00087,SUP-0096,2023-08-17,0,1728,3694075.85,2023-08-26,2023-08-26,1,0,1656,Accepted,Pending
PO-000076,SKU-00240,SUP-0095,2024-10-15,0,20,6302.21,2024-10-23,2024-10-22,1,0,18,Accepted,Paid
PO-000077,SKU-00002,SUP-0056,2023-06-17,1,114,90467.8,2023-07-11,2023-07-15,0,4,112,Accepted,Paid
PO-000078,SKU-00076,SUP-0034,2023-01-25,0,96,4286.5,2023-02-07,2023-02-06,1,0,91,Accepted,Paid
PO-000079,SKU-00208,SUP-0079,2024-09-27,0,297,11978773.94,2024-10-21,2024-10-19,1,0,284,Accepted,Paid
PO-000080,SKU-00296,SUP-0124,2024-04-06,1,1513,1423956.3,2024-04-18,2024-04-21,0,3,1452,Accepted,Paid
PO-000081,SKU-00174,SUP-0109,2024-08-13,0,146,497360.19,2024-09-14,2024-09-15,0,1,139,Accepted,Paid
PO-000082,SKU-00470,SUP-0004,2023-07-29,1,110,418453.68,2023-08-18,2023-08-22,0,4,103,Accepted,Paid
PO-000083,SKU-00212,SUP-0020,2024-05-09,0,2186,674090.12,2024-06-12,2024-06-11,1,0,2067,Accepted,Pending
PO-000084,SKU-00100,SUP-0011,2024-01-14,1,627,22797442.74,2024-02-06,2024-02-12,0,6,575,Accepted,Pending
PO-000085,SKU-00027,SUP-0166,2024-11-23,1,462,17201885.65,2024-12-07,2024-12-10,0,3,421,Accepted,Paid
PO-000086,SKU-00309,SUP-0012,2023-11-27,0,2275,171370.27,2023-12-13,2023-12-14,0,1,2059,Partially Rejected,Overdue
PO-000087,SKU-00282,SUP-0193,2024-01-21,1,1004,133458.49,2024-02-01,2024-02-05,0,4,980,Accepted,Paid
PO-000088,SKU-00426,SUP-0101,2023-01-10,0,409,25099.84,2023-01-25,2023-01-25,1,0,392,Accepted,Paid
PO-000089,SKU-00072,SUP-0151,2024-06-30,1,2072,205147.99,2024-07-19,2024-07-23,0,4,1869,Accepted,Paid
PO-000090,SKU-00195,SUP-0138,2024-07-17,0,17,12152.48,2024-07-21,2024-07-21,1,0,16,Accepted,Pending
PO-000091,SKU-00298,SUP-0011,2024-05-11,1,30,2787.58,2024-06-03,2024-06-07,0,4,29,Partially Rejected,Overdue
PO-000092,SKU-00079,SUP-0030,2024-10-21,0,3267,14912.74,2024-10-29,2024-10-29,1,0,2947,Accepted,Paid
PO-000093,SKU-00102,SUP-0165,2023-01-07,1,4222,142877.8,2023-01-15,2023-01-17,0,2,4156,Accepted,Paid
PO-000094,SKU-00446,SUP-0053,2023-04-26,0,427,53301.31,2023-05-28,2023-05-25,1,0,407,Accepted,Paid
PO-000095,SKU-00295,SUP-0013,2023-10-09,0,1848,2858732.57,2023-10-24,2023-10-25,0,1,1686,Accepted,Overdue
PO-000096,SKU-00062,SUP-0037,2024-01-05,0,56,103368.42,2024-02-01,2024-02-04,0,3,52,Accepted,Paid
PO-000097,SKU-00143,SUP-0065,2024-02-19,0,493,396788.91,2024-03-06,2024-03-05,1,0,485,Accepted,Pending
PO-000098,SKU-00061,SUP-0165,2023-06-06,0,188,872949.0,2023-06-14,2023-06-13,1,0,179,Accepted,Paid
PO-000099,SKU-00281,SUP-0167,2023-09-15,0,34,162584.17,2023-10-09,2023-10-08,1,0,32,Accepted,Paid
PO-000100,SKU-00249,SUP-0096,2023-04-21,0,156,54130.76,2023-04-30,2023-04-30,1,0,146,Accepted,Paid
PO-000101,SKU-00252,SUP-0070,2023-08-01,0,138,6292987.81,2023-09-13,2023-09-16,0,3,129,Accepted,Paid
PO-000102,SKU-00321,SUP-0100,2023-08-16,0,1687,63320.74,2023-09-17,2023-09-16,1,0,1567,Accepted,Paid
PO-000103,SKU-00098,SUP-0174,2024-06-13,0,482,2642147.81,2024-07-12,2024-07-11,1,0,440,Accepted,Paid
PO-000104,SKU-00301,SUP-0003,2023-12-02,1,2245,16070652.69,2023-12-30,2024-01-07,0,8,2074,Accepted,Paid
PO-000105,SKU-00345,SUP-0161,2023-01-20,0,13,110469.89,2023-03-04,2023-03-03,1,0,11,Accepted,Paid
PO-000106,SKU-00214,SUP-0090,2024-02-09,0,473,10577.86,2024-02-18,2024-02-18,1,0,436,Accepted,Pending
PO-000107,SKU-00134,SUP-0101,2024-09-28,1,1054,49789932.5,2024-10-13,2024-10-16,0,3,1010,Accepted,Paid
PO-000108,SKU-00077,SUP-0164,2023-11-03,0,454,33226.44,2023-12-14,2023-12-19,0,5,439,Fully Rejected,Paid
PO-000109,SKU-00397,SUP-0094,2023-11-24,0,410,2258829.74,2023-12-14,2023-12-14,1,0,375,Accepted,Pending
PO-000110,SKU-00226,SUP-0082,2023-11-25,1,58,159128.03,2023-12-07,2023-12-09,0,2,53,Accepted,Pending
PO-000111,SKU-00401,SUP-0125,2024-11-20,0,198,21898.11,2024-12-02,2024-12-01,1,0,188,Accepted,Paid
PO-000112,SKU-00444,SUP-0176,2024-11-27,0,803,2133053.71,2024-12-13,2024-12-13,1,0,724,Accepted,Paid
PO-000113,SKU-00440,SUP-0197,2023-07-23,1,71,2730895.3,2023-08-02,2023-08-04,0,2,66,Accepted,Paid
PO-000114,SKU-00445,SUP-0051,2023-11-30,0,1964,60441247.77,2023-12-10,2023-12-10,1,0,1800,Accepted,Paid
PO-000115,SKU-00332,SUP-0158,2024-07-08,0,2476,1564719.18,2024-07-24,2024-07-26,0,2,2411,Accepted,Overdue
PO-000116,SKU-00264,SUP-0103,2023-09-29,0,32,150556.72,2023-10-17,2023-10-19,0,2,29,Accepted,Paid
PO-000117,SKU-00461,SUP-0102,2024-03-30,1,758,746606.14,2024-04-09,2024-04-10,0,1,754,Accepted,Pending
PO-000118,SKU-00383,SUP-0184,2023-02-18,1,158,150814.75,2023-02-25,2023-02-27,0,2,144,Accepted,Overdue
PO-000119,SKU-00220,SUP-0108,2024-07-24,0,1602,585120.61,2024-07-29,2024-07-29,1,0,1445,Accepted,Paid
PO-000120,SKU-00128,SUP-0174,2023-09-29,0,161,12912.12,2023-10-28,2023-10-24,1,0,150,Accepted,Pending
PO-000121,SKU-00457,SUP-0167,2023-09-03,1,440,876070.55,2023-09-27,2023-10-03,0,6,406,Accepted,Paid
PO-000122,SKU-00018,SUP-0106,2024-09-12,0,861,52217.37,2024-09-30,2024-10-02,0,2,818,Accepted,Pending
PO-000123,SKU-00051,SUP-0141,2023-02-25,1,3251,9131401.03,2023-03-09,2023-03-12,0,3,3012,Accepted,Pending
PO-000124,SKU-00476,SUP-0065,2023-10-12,0,146,78902.07,2023-10-28,2023-10-29,0,1,145,Accepted,Paid
PO-000125,SKU-00411,SUP-0023,2023-06-11,1,75,86889.36,2023-06-30,2023-07-04,0,4,72,Accepted,Paid
PO-000126,SKU-00012,SUP-0193,2024-12-18,0,3928,281308.55,2024-12-29,2024-12-30,0,1,3791,Accepted,Paid
PO-000127,SKU-00038,SUP-0002,2024-09-13,0,858,3406452.92,2024-09-23,2024-09-23,1,0,827,Accepted,Paid
PO-000128,SKU-00464,SUP-0147,2023-02-03,0,1412,4459370.64,2023-02-24,2023-02-23,1,0,1337,Accepted,Paid
PO-000129,SKU-00237,SUP-0090,2023-03-16,0,56,125637.91,2023-03-25,2023-03-25,1,0,52,Accepted,Pending
PO-000130,SKU-00435,SUP-0035,2023-09-28,0,467,5669.83,2023-10-26,2023-10-23,1,0,451,Accepted,Paid
PO-000131,SKU-00436,SUP-0036,2024-10-19,1,1894,12795006.09,2024-10-28,2024-10-30,0,2,1774,Accepted,Paid
PO-000132,SKU-00268,SUP-0142,2024-10-24,0,100,163695.68,2024-11-20,2024-11-16,1,0,90,Accepted,Paid
PO-000133,SKU-00415,SUP-0034,2024-01-26,0,22,9356.38,2024-02-08,2024-02-07,1,0,20,Accepted,Paid
PO-000134,SKU-00221,SUP-0054,2024-12-27,0,724,3593030.43,2025-01-15,2025-01-18,0,3,696,Accepted,Pending
PO-000135,SKU-00376,SUP-0045,2024-03-26,0,721,445026.19,2024-04-13,2024-04-12,1,0,654,Fully Rejected,Paid
PO-000136,SKU-00011,SUP-0163,2023-12-15,0,71,65980.86,2023-12-25,2023-12-26,0,1,70,Accepted,Paid
PO-000137,SKU-00141,SUP-0054,2023-02-08,0,471,502386.99,2023-02-27,2023-02-28,0,1,449,Accepted,Paid
PO-000138,SKU-00168,SUP-0134,2024-05-11,1,718,4094583.99,2024-06-15,2024-06-22,0,7,680,Accepted,Paid
PO-000139,SKU-00282,SUP-0193,2023-11-06,0,459,58146.33,2023-11-17,2023-11-18,0,1,434,Accepted,Paid
PO-000140,SKU-00016,SUP-0138,2024-08-27,0,352,1514914.19,2024-08-31,2024-09-01,0,1,324,Accepted,Pending
PO-000141,SKU-00264,SUP-0103,2023-03-18,1,37,174073.19,2023-04-05,2023-04-09,0,4,33,Accepted,Paid
PO-000142,SKU-00462,SUP-0185,2024-09-14,1,2585,9385691.27,2024-10-05,2024-10-10,0,5,2397,Accepted,Paid
PO-000143,SKU-00465,SUP-0146,2023-01-11,0,1510,3297466.5,2023-02-02,2023-02-01,1,0,1395,Accepted,Paid
PO-000144,SKU-00125,SUP-0048,2024-06-24,0,1049,1807648.87,2024-07-20,2024-07-18,1,0,947,Partially Rejected,Paid
PO-000145,SKU-00129,SUP-0003,2024-09-17,0,756,1290664.68,2024-10-15,2024-10-11,1,0,734,Accepted,Paid
PO-000146,SKU-00196,SUP-0086,2024-05-03,0,319,77616.87,2024-05-27,2024-05-24,1,0,316,Accepted,Paid
PO-000147,SKU-00382,SUP-0178,2024-09-22,1,2394,713220.93,2024-10-04,2024-10-07,0,3,2345,Accepted,Paid
PO-000148,SKU-00378,SUP-0045,2023-12-03,1,21,25588.19,2023-12-21,2023-12-25,0,4,18,Accepted,Pending
PO-000149,SKU-00059,SUP-0190,2024-09-23,0,97,5123.15,2024-10-05,2024-10-06,0,1,95,Accepted,Paid
PO-000150,SKU-00029,SUP-0152,2023-01-29,1,45,245012.39,2023-02-26,2023-03-03,0,5,44,Accepted,Paid
PO-000151,SKU-00414,SUP-0144,2024-06-13,0,1391,84540.15,2024-07-07,2024-07-03,1,0,1339,Accepted,Overdue
PO-000152,SKU-00104,SUP-0107,2023-04-11,0,173,104037.94,2023-04-23,2023-04-22,1,0,159,Accepted,Pending
PO-000153,SKU-00230,SUP-0150,2023-12-26,0,391,147577.52,2024-01-15,2024-01-17,0,2,355,Accepted,Paid
PO-000154,SKU-00115,SUP-0124,2024-06-16,1,1538,10297348.53,2024-06-28,2024-06-30,0,2,1524,Accepted,Paid
PO-000155,SKU-00334,SUP-0180,2024-01-17,0,103,537.11,2024-02-17,2024-02-21,0,4,98,Accepted,Paid
PO-000156,SKU-00347,SUP-0168,2024-05-19,1,2195,55048569.81,2024-05-30,2024-06-01,0,2,2037,Accepted,Paid
PO-000157,SKU-00020,SUP-0163,2024-02-08,0,3038,25014890.19,2024-02-18,2024-02-17,1,0,2907,Accepted,Pending
PO-000158,SKU-00004,SUP-0164,2024-09-03,0,3256,1312495.56,2024-10-14,2024-10-19,0,5,3028,Accepted,Paid
PO-000159,SKU-00249,SUP-0096,2024-03-26,0,284,93996.28,2024-04-04,2024-04-05,0,1,280,Accepted,Paid
PO-000160,SKU-00115,SUP-0124,2024-06-15,1,3411,23175395.63,2024-06-27,2024-06-29,0,2,3197,Accepted,Paid
PO-000161,SKU-00094,SUP-0144,2024-10-04,0,410,3233572.94,2024-10-28,2024-10-24,1,0,395,Accepted,Paid
PO-000162,SKU-00203,SUP-0162,2023-08-26,1,357,25289.47,2023-09-12,2023-09-16,0,4,353,Accepted,Pending
PO-000163,SKU-00243,SUP-0027,2024-11-24,1,160,612840.36,2024-12-14,2024-12-17,0,3,155,Partially Rejected,Paid
PO-000164,SKU-00241,SUP-0055,2024-10-30,0,2057,65484594.54,2024-11-20,2024-11-23,0,3,1931,Accepted,Overdue
PO-000165,SKU-00043,SUP-0011,2024-12-20,0,519,571124.25,2025-01-12,2025-01-10,1,0,488,Accepted,Paid
PO-000166,SKU-00427,SUP-0065,2024-08-27,0,47,388579.74,2024-09-12,2024-09-10,1,0,45,Accepted,Paid
PO-000167,SKU-00222,SUP-0019,2023-01-28,1,1413,60288928.76,2023-02-08,2023-02-09,0,1,1336,Accepted,Paid
PO-000168,SKU-00061,SUP-0165,2023-01-21,1,246,1173511.89,2023-01-29,2023-01-31,0,2,233,Partially Rejected,Pending
PO-000169,SKU-00442,SUP-0020,2024-06-24,0,74,6889.19,2024-07-28,2024-07-27,1,0,70,Accepted,Paid
PO-000170,SKU-00148,SUP-0148,2024-08-01,0,221,2582941.46,2024-08-13,2024-08-13,1,0,199,Accepted,Paid
PO-000171,SKU-00320,SUP-0046,2024-02-03,1,2302,111865826.54,2024-02-12,2024-02-14,0,2,2105,Accepted,Paid
PO-000172,SKU-00422,SUP-0199,2023-10-15,1,3979,134672.36,2023-10-24,2023-10-26,0,2,3650,Accepted,Paid
PO-000173,SKU-00342,SUP-0083,2023-03-28,0,623,115595.03,2023-04-13,2023-04-13,1,0,575,Accepted,Paid
PO-000174,SKU-00426,SUP-0101,2024-02-22,0,499,30588.11,2024-03-08,2024-03-10,0,2,467,Accepted,Paid
PO-000175,SKU-00470,SUP-0004,2023-02-28,0,288,1018214.06,2023-03-20,2023-03-18,1,0,270,Accepted,Paid
PO-000176,SKU-00135,SUP-0084,2024-09-14,1,210,8122146.97,2024-10-02,2024-10-07,0,5,191,Accepted,Paid
PO-000177,SKU-00090,SUP-0136,2023-03-19,1,72,79.77,2023-03-28,2023-03-30,0,2,67,Accepted,Paid
PO-000178,SKU-00337,SUP-0065,2024-04-15,0,358,184389.47,2024-05-01,2024-04-30,1,0,342,Accepted,Paid
PO-000179,SKU-00381,SUP-0185,2024-12-30,0,1068,176403.69,2025-01-20,2025-01-18,1,0,993,Fully Rejected,Pending
PO-000180,SKU-00328,SUP-0104,2024-01-26,0,3766,9981361.99,2024-02-02,2024-02-02,1,0,3566,Accepted,Paid
PO-000181,SKU-00120,SUP-0133,2023-09-12,0,204,22529.75,2023-09-23,2023-09-23,1,0,200,Accepted,Paid
PO-000182,SKU-00178,SUP-0104,2024-10-05,1,904,6735436.35,2024-10-12,2024-10-13,0,1,892,Accepted,Paid
PO-000183,SKU-00484,SUP-0145,2023-02-02,0,256,10960198.39,2023-02-09,2023-02-09,1,0,237,Accepted,Paid
PO-000184,SKU-00404,SUP-0007,2023-03-30,0,307,708028.09,2023-04-09,2023-04-09,1,0,293,Accepted,Paid
PO-000185,SKU-00402,SUP-0055,2024-12-17,0,148,121892.95,2025-01-07,2025-01-05,1,0,146,Accepted,Overdue
PO-000186,SKU-00361,SUP-0137,2023-03-26,1,4836,176160.3,2023-04-24,2023-05-03,0,9,4358,Accepted,Pending
PO-000187,SKU-00251,SUP-0153,2023-01-23,0,2437,7255867.71,2023-01-30,2023-01-30,1,0,2434,Accepted,Overdue
PO-000188,SKU-00487,SUP-0041,2023-03-05,1,89,225567.97,2023-03-15,2023-03-16,0,1,87,Accepted,Paid
PO-000189,SKU-00163,SUP-0189,2023-03-29,0,1823,439598.57,2023-04-04,2023-04-04,1,0,1693,Accepted,Paid
PO-000190,SKU-00442,SUP-0020,2023-05-05,0,88,7760.71,2023-06-08,2023-06-08,1,0,85,Accepted,Paid
PO-000191,SKU-00273,SUP-0047,2023-05-02,0,73,876.1,2023-05-06,2023-05-05,1,0,68,Accepted,Paid
PO-000192,SKU-00304,SUP-0125,2023-08-21,0,192,203456.48,2023-09-02,2023-08-31,1,0,183,Accepted,Pending
PO-000193,SKU-00129,SUP-0003,2024-09-20,0,1726,2857838.35,2024-10-18,2024-10-21,0,3,1604,Accepted,Pending
PO-000194,SKU-00363,SUP-0037,2023-06-25,1,155,2975170.29,2023-07-22,2023-07-27,0,5,146,Accepted,Paid
PO-000195,SKU-00078,SUP-0037,2023-08-13,1,405,1246975.01,2023-09-09,2023-09-14,0,5,391,Accepted,Paid
PO-000196,SKU-00435,SUP-0035,2023-10-14,1,215,2493.83,2023-11-11,2023-11-17,0,6,199,Accepted,Paid
PO-000197,SKU-00325,SUP-0056,2023-10-14,1,30,133200.28,2023-11-07,2023-11-11,0,4,28,Accepted,Overdue
PO-000198,SKU-00381,SUP-0185,2023-08-05,1,731,123402.69,2023-08-26,2023-09-01,0,6,695,Accepted,Paid
PO-000199,SKU-00118,SUP-0109,2024-12-08,1,171,2229815.76,2025-01-09,2025-01-18,0,9,163,Accepted,Paid
PO-000200,SKU-00456,SUP-0151,2023-11-22,0,3270,199245.93,2023-12-11,2023-12-09,1,0,3123,Accepted,Paid
PO-000201,SKU-00441,SUP-0192,2024-04-06,1,383,312685.58,2024-05-04,2024-05-10,0,6,374,Accepted,Pending
PO-000202,SKU-00118,SUP-0109,2023-01-27,0,65,855515.77,2023-02-28,2023-03-03,0,3,64,Accepted,Paid
PO-000203,SKU-00092,SUP-0079,2024-09-14,1,69,25830.71,2024-10-08,2024-10-14,0,6,68,Accepted,Paid
PO-000204,SKU-00117,SUP-0023,2024-01-04,0,329,12532132.76,2024-01-23,2024-01-22,1,0,317,Accepted,Paid
PO-000205,SKU-00073,SUP-0166,2023-11-17,0,123,11300.05,2023-12-01,2023-12-01,1,0,112,Accepted,Paid
PO-000206,SKU-00008,SUP-0046,2024-01-21,1,850,1828506.3,2024-01-30,2024-02-02,0,3,818,Accepted,Paid
PO-000207,SKU-00291,SUP-0010,2023-04-27,0,613,522201.27,2023-05-12,2023-05-11,1,0,592,Fully Rejected,Paid
PO-000208,SKU-00042,SUP-0055,2024-08-30,0,346,14882641.45,2024-09-20,2024-09-22,0,2,320,Accepted,Pending
