supplier_id,month,otif_percentage,avg_lead_time_days,quality_reject_rate_pct,orders_placed,orders_fulfilled_on_time,fill_rate_pct,capacity_utilization_pct,invoices_submitted,invoices_paid_on_time
SUP-0002,2024-06,79.4,10.4,3.93,10,7,87.0,77.5,10,9
SUP-0002,2024-07,80.49,10.9,2.06,14,11,91.4,94.1,14,10
SUP-0002,2024-08,80.52,8.7,1.01,14,11,96.3,88.0,14,12
SUP-0002,2024-09,80.71,9.2,6.05,11,8,94.3,83.5,11,8
SUP-0002,2024-10,77.95,9.9,1.37,10,7,87.0,65.9,10,7
SUP-0002,2024-11,77.46,8.2,3.27,11,8,87.5,64.6,11,10
SUP-0002,2024-12,77.47,10.5,5.11,11,8,77.7,91.6,11,8
SUP-0003,2023-01,82.65,23.5,8.83,6,4,93.2,61.3,6,5
SUP-0003,2023-02,83.39,23.5,15.62,13,10,91.4,85.6,13,10
SUP-0003,2023-03,80.1,22.3,0.74,11,8,90.5,92.0,11,10
SUP-0003,2023-04,78.39,29.5,0.76,15,11,74.8,93.1,15,12
SUP-0003,2023-05,80.85,26.9,11.53,11,8,92.6,74.3,11,9
SUP-0003,2023-06,71.17,26.7,1.0,19,13,79.5,81.6,19,16
SUP-0003,2023-07,74.77,31.6,7.08,13,9,86.5,82.4,13,12
SUP-0003,2023-08,87.84,20.9,1.62,18,15,98.0,66.0,18,15
SUP-0003,2023-09,86.06,28.0,12.22,12,10,97.9,61.3,12,8
SUP-0003,2023-10,92.47,32.3,2.92,15,13,93.5,82.5,15,13
SUP-0003,2023-11,91.32,21.4,2.89,10,9,92.3,78.4,10,7
SUP-0003,2023-12,100.0,23.8,9.57,15,15,92.4,79.6,15,11
SUP-0003,2024-01,95.59,39.0,8.82,13,12,91.3,61.7,13,11
SUP-0003,2024-02,97.47,31.4,1.14,12,11,98.8,64.5,12,9
SUP-0003,2024-03,89.19,22.9,9.42,10,8,92.7,90.9,10,8
SUP-0003,2024-04,83.62,34.1,6.57,5,4,93.3,79.8,5,4
SUP-0003,2024-05,73.25,32.5,7.8,14,10,87.3,93.8,14,11
SUP-0003,2024-06,82.92,16.0,6.69,14,11,96.9,91.0,14,11
SUP-0003,2024-07,100.0,31.6,7.21,10,10,96.4,83.4,10,7
SUP-0003,2024-08,94.87,23.7,8.05,15,14,91.9,78.4,15,11
SUP-0003,2024-09,96.17,31.6,1.5,10,9,92.2,71.9,10,7
SUP-0003,2024-10,94.51,31.4,12.97,13,12,94.6,91.3,13,12
SUP-0003,2024-11,89.13,22.5,11.61,16,14,95.0,76.7,16,15
SUP-0003,2024-12,97.4,31.0,8.06,13,12,91.8,72.4,13,11
SUP-0004,2023-01,76.68,21.6,2.81,23,17,85.6,84.2,23,17
SUP-0004,2023-02,74.24,20.4,2.91,12,8,84.8,74.6,12,10
SUP-0004,2023-03,71.36,18.4,0.08,12,8,81.4,79.4,12,9
SUP-0004,2023-04,71.69,19.3,1.11,9,6,87.2,78.4,9,8
SUP-0004,2023-05,64.32,14.7,2.56,13,8,72.4,95.0,13,12
SUP-0004,2023-06,61.92,16.4,3.0,14,8,72.7,90.7,14,13
SUP-0004,2023-07,61.73,23.9,5.35,15,9,71.0,86.0,15,12
SUP-0004,2023-08,59.09,19.8,0.38,10,5,75.4,91.3,10,9
SUP-0004,2023-09,58.21,20.6,2.71,13,7,77.9,92.3,13,10
SUP-0004,2023-10,54.4,29.4,1.04,13,7,81.8,95.6,13,9
SUP-0004,2023-11,53.31,20.9,5.51,9,4,85.2,97.9,9,8
SUP-0004,2023-12,51.24,20.9,2.78,12,6,78.9,99.0,12,11
SUP-0004,2024-01,49.1,16.1,3.48,12,5,76.8,92.2,12,9
SUP-0004,2024-02,47.51,22.0,0.34,10,4,75.4,95.5,10,7
SUP-0004,2024-03,43.48,19.8,0.85,17,7,81.0,85.8,17,15
SUP-0004,2024-04,40.2,20.4,1.78,12,4,79.4,91.3,12,11
SUP-0004,2024-05,36.05,27.9,1.2,3,1,84.8,88.6,3,2
SUP-0004,2024-06,34.5,26.2,2.59,13,4,71.2,87.2,13,10
SUP-0004,2024-07,31.8,16.0,0.64,7,2,80.4,96.4,7,5
SUP-0004,2024-08,33.67,28.3,0.06,12,4,81.8,95.1,12,10
SUP-0004,2024-09,32.05,24.2,2.73,12,3,84.2,89.5,12,9
SUP-0004,2024-10,31.5,24.0,2.87,16,5,78.1,85.0,16,13
SUP-0004,2024-11,30.0,13.0,5.79,16,4,79.5,96.5,16,15
SUP-0004,2024-12,30.0,22.8,1.33,14,4,70.0,90.6,14,12
SUP-0005,2023-01,81.47,17.8,0.38,13,10,98.4,73.1,13,11
SUP-0005,2023-02,80.07,24.7,1.61,10,8,95.7,64.6,10,7
SUP-0005,2023-03,78.21,18.5,4.57,11,8,79.4,65.3,11,7
SUP-0005,2023-04,75.52,15.3,2.73,10,7,78.5,81.8,10,7
SUP-0005,2023-05,71.91,8.2,3.71,14,10,83.4,70.7,14,10
SUP-0005,2023-06,70.01,12.7,0.19,13,9,73.4,75.2,13,11
SUP-0005,2023-07,66.62,11.7,1.73,9,5,72.6,99.0,9,7
SUP-0005,2023-08,62.47,13.1,0.33,5,3,79.5,89.0,5,4
SUP-0005,2023-09,61.47,17.8,5.56,15,9,72.3,99.6,15,12
SUP-0005,2023-10,57.82,19.1,1.6,17,9,78.6,89.8,17,13
SUP-0005,2023-11,53.75,14.1,2.63,14,7,83.5,85.6,14,12
SUP-0005,2023-12,51.33,16.6,0.12,12,6,76.0,93.6,12,9
SUP-0005,2024-01,47.75,15.0,0.16,11,5,87.7,98.0,11,10
SUP-0005,2024-02,44.96,15.2,2.93,12,5,82.0,99.3,12,8
SUP-0005,2024-03,42.53,21.3,0.11,8,3,77.7,99.8,8,7
SUP-0005,2024-04,39.74,16.2,0.54,16,6,75.7,99.7,16,15
SUP-0005,2024-05,34.88,20.1,1.91,8,2,87.1,89.8,8,6
SUP-0005,2024-06,30.0,15.8,0.31,15,4,73.4,87.4,15,11
SUP-0005,2024-07,30.0,12.1,3.99,13,3,73.3,96.9,13,12
SUP-0005,2024-08,30.0,11.3,0.56,10,3,86.6,99.1,10,7
SUP-0005,2024-09,30.0,19.6,9.77,13,3,85.1,97.3,13,11
SUP-0005,2024-10,30.0,15.3,2.1,7,2,71.7,94.4,7,6
SUP-0005,2024-11,30.0,17.3,1.65,19,5,82.0,95.9,19,14
SUP-0005,2024-12,30.0,14.4,3.06,10,3,72.6,90.2,10,9
SUP-0006,2023-01,93.11,20.2,1.47,9,8,93.8,71.4,9,8
SUP-0006,2023-02,92.51,20.4,2.96,13,12,93.7,89.5,13,11
SUP-0006,2023-03,91.35,15.0,8.87,8,7,97.1,76.9,8,5
SUP-0006,2023-04,91.34,11.9,1.44,11,10,91.9,81.0,11,9
SUP-0006,2023-05,91.51,18.2,2.26,13,11,93.4,62.9,13,10
SUP-0006,2023-06,91.32,17.1,1.14,13,11,92.4,74.4,13,9
SUP-0006,2023-07,91.61,17.7,3.45,13,11,90.9,77.0,13,11
SUP-0006,2023-08,91.96,16.7,0.13,10,9,88.1,62.4,10,9
SUP-0006,2023-09,91.47,12.4,7.0,15,13,93.6,84.6,15,10
SUP-0006,2023-10,91.16,14.9,0.45,11,10,97.3,62.7,11,9
SUP-0006,2023-11,93.22,13.5,0.21,11,10,92.4,65.8,11,9
SUP-0006,2023-12,91.55,15.0,2.2,18,16,96.4,61.0,18,17
SUP-0006,2024-01,91.47,12.9,0.68,9,8,96.7,93.2,9,7
SUP-0006,2024-02,90.15,16.3,1.17,12,10,92.6,62.7,12,9
SUP-0006,2024-03,87.96,20.0,2.57,13,11,94.4,65.3,13,10
SUP-0006,2024-04,87.55,16.5,2.05,11,9,92.9,83.8,11,8
SUP-0006,2024-05,89.44,14.9,3.97,14,12,98.1,69.3,14,10
SUP-0006,2024-06,89.09,19.3,1.1,19,16,98.9,68.0,19,15
SUP-0006,2024-07,88.29,17.0,1.26,11,9,89.8,72.9,11,8
SUP-0006,2024-08,87.45,17.1,0.46,12,10,96.9,83.7,12,8
SUP-0006,2024-09,88.64,11.2,2.52,19,16,94.2,67.6,19,16
SUP-0006,2024-10,88.74,14.8,10.99,15,13,98.2,77.3,15,12
SUP-0006,2024-11,87.21,15.5,0.15,9,7,90.9,80.4,9,6
SUP-0006,2024-12,88.55,16.1,2.6,12,10,90.6,86.9,12,11
SUP-0007,2023-01,78.31,10.9,1.32,15,11,82.7,62.1,15,13
SUP-0007,2023-02,77.13,14.0,0.92,11,8,81.7,78.9,11,9
SUP-0007,2023-03,73.55,10.3,1.97,10,7,87.3,94.6,10,7
SUP-0007,2023-04,70.89,11.9,1.31,9,6,84.1,81.0,9,8
SUP-0007,2023-05,68.59,13.0,7.06,14,9,87.9,89.2,14,10
SUP-0007,2023-06,64.92,9.3,0.45,7,4,82.5,93.5,7,6
SUP-0007,2023-07,65.24,9.7,2.9,15,9,80.0,94.8,15,12
SUP-0007,2023-08,63.98,11.9,0.64,12,7,75.7,97.1,12,10
SUP-0007,2023-09,60.95,13.8,1.39,14,8,70.6,97.4,14,11
SUP-0007,2023-10,57.02,9.1,1.36,9,5,86.9,92.6,9,8
SUP-0007,2023-11,56.66,7.1,0.08,13,7,85.1,97.0,13,12
SUP-0007,2023-12,56.45,9.8,4.25,8,4,86.8,99.6,8,6
SUP-0007,2024-01,53.32,11.7,7.8,10,5,78.3,99.1,10,9
SUP-0007,2024-02,49.3,9.6,1.54,6,2,71.3,95.4,6,4
SUP-0007,2024-03,46.88,11.0,2.36,11,5,70.8,86.3,11,8
SUP-0007,2024-04,44.15,9.6,3.58,6,2,72.4,87.7,6,5
SUP-0007,2024-05,41.27,10.4,0.84,12,4,75.0,89.1,12,11
SUP-0007,2024-06,36.54,12.0,2.57,13,4,81.3,90.9,13,9
SUP-0007,2024-07,34.48,6.2,0.71,15,5,81.5,94.0,15,13
SUP-0007,2024-08,32.81,9.4,2.95,17,5,71.9,87.0,17,13
SUP-0007,2024-09,30.0,12.5,0.36,13,3,87.3,91.6,13,12
SUP-0007,2024-10,30.0,7.9,0.37,10,3,71.2,90.7,10,9
SUP-0007,2024-11,30.0,8.3,3.71,17,5,76.7,95.4,17,14
SUP-0007,2024-12,30.0,12.6,1.44,12,3,85.5,97.0,12,10
SUP-0008,2023-01,88.35,10.1,1.05,7,6,95.2,87.7,7,6
SUP-0008,2023-02,86.52,8.0,3.92,19,16,88.0,79.9,19,16
SUP-0008,2023-03,88.2,6.2,0.39,8,7,94.7,82.3,8,6
SUP-0008,2023-04,88.99,9.6,6.14,13,11,94.5,88.2,13,9
SUP-0008,2023-05,87.42,7.3,4.32,10,8,94.8,62.4,10,8
SUP-0008,2023-06,87.42,7.3,1.08,12,10,98.8,69.3,12,11
SUP-0008,2023-07,86.03,9.5,4.29,11,9,97.7,77.4,11,7
SUP-0008,2023-08,86.82,8.4,4.41,14,12,92.9,78.8,14,13
SUP-0008,2023-09,89.48,7.0,0.1,14,12,94.3,94.5,14,12
SUP-0008,2023-10,86.77,10.2,7.09,9,7,88.6,73.1,9,7
SUP-0008,2023-11,84.92,7.0,1.59,14,11,90.8,63.8,14,13
SUP-0008,2023-12,86.83,9.3,5.72,12,10,94.1,76.5,12,11
SUP-0008,2024-01,86.94,7.3,7.72,15,13,88.1,83.8,15,10
SUP-0008,2024-02,88.23,10.5,3.63,16,14,89.4,89.4,16,14
SUP-0008,2024-03,88.48,8.8,2.72,6,5,90.9,64.1,6,4
SUP-0008,2024-04,87.01,8.6,2.04,9,7,95.9,65.2,9,8
SUP-0008,2024-05,84.09,9.7,1.28,15,12,95.2,83.8,15,12
SUP-0008,2024-06,81.66,7.2,0.69,7,5,89.6,79.2,7,6
SUP-0008,2024-07,79.38,9.1,0.31,4,3,75.2,70.0,4,3
SUP-0008,2024-08,80.09,7.3,2.03,11,8,97.2,69.9,11,10
SUP-0008,2024-09,79.72,11.1,4.45,11,8,75.6,71.8,11,9
SUP-0008,2024-10,80.04,8.0,0.19,18,14,89.6,73.2,18,13
SUP-0008,2024-11,80.66,8.9,0.46,15,12,94.7,78.7,15,13
SUP-0008,2024-12,80.4,9.4,0.33,11,8,91.0,83.6,11,10
SUP-0009,2023-01,81.43,28.7,3.62,15,12,98.7,80.0,15,12
SUP-0009,2023-02,78.4,19.7,0.9,12,9,87.5,69.9,12,11
SUP-0009,2023-03,79.4,28.0,19.53,13,10,83.3,60.2,13,10
SUP-0009,2023-04,79.57,16.1,1.85,13,10,77.4,94.6,13,10
SUP-0009,2023-05,77.61,22.0,0.34,15,11,75.1,94.1,15,11
SUP-0009,2023-06,74.9,13.8,1.79,17,12,80.3,74.9,17,14
SUP-0009,2023-07,73.94,32.5,7.89,13,9,81.1,75.3,13,11
SUP-0009,2023-08,75.6,26.3,9.23,9,6,74.0,87.0,9,7
SUP-0009,2023-09,74.3,34.9,2.82,16,11,82.6,67.7,16,14
SUP-0009,2023-10,75.37,16.1,6.12,13,9,82.0,80.1,13,11
SUP-0009,2023-11,78.48,31.2,5.03,15,11,73.7,90.9,15,10
SUP-0009,2023-12,80.44,21.1,0.68,16,12,94.4,70.6,16,12
SUP-0009,2024-01,81.07,26.3,6.0,8,6,90.2,70.3,8,5
SUP-0009,2024-02,78.22,19.3,3.34,9,7,86.7,70.9,9,7
SUP-0009,2024-03,80.35,27.0,1.47,11,8,93.1,70.3,11,9
SUP-0009,2024-04,80.98,18.7,6.17,13,10,92.8,66.2,13,9
SUP-0009,2024-05,82.95,23.6,4.11,11,9,98.8,71.3,11,9
SUP-0009,2024-06,80.93,23.5,4.43,9,7,92.5,60.7,9,6
SUP-0009,2024-07,82.02,26.2,0.54,10,8,91.1,70.6,10,8
SUP-0009,2024-08,80.61,30.9,2.18,11,8,98.5,90.4,11,8
SUP-0009,2024-09,80.53,33.5,2.77,16,12,95.7,88.7,16,12
SUP-0009,2024-10,80.26,15.4,3.7,13,10,88.8,66.5,13,10
SUP-0009,2024-11,80.18,25.7,15.89,16,12,91.9,75.3,16,12
SUP-0009,2024-12,80.7,29.2,2.71,7,5,97.5,60.8,7,6
SUP-0010,2023-01,77.16,18.4,6.71,15,11,80.3,88.1,15,12
SUP-0010,2023-02,83.07,13.8,1.92,8,6,94.1,78.2,8,5
SUP-0010,2023-03,82.21,15.2,0.24,11,9,90.9,83.0,11,8
SUP-0010,2023-04,80.21,16.6,6.17,15,12,93.4,88.5,15,10
SUP-0010,2023-05,81.25,18.5,0.67,9,7,97.7,83.9,9,7
SUP-0010,2023-06,80.66,12.1,1.12,14,11,94.6,76.1,14,11
SUP-0010,2023-07,79.72,15.5,3.92,9,7,71.4,79.6,9,6
SUP-0010,2023-08,84.05,10.8,0.38,13,10,88.6,62.5,13,9
SUP-0010,2023-09,82.51,19.8,0.03,8,6,90.3,90.7,8,6
SUP-0010,2023-10,80.46,14.8,1.16,8,6,96.1,78.8,8,6
SUP-0010,2023-11,88.48,15.2,2.82,10,8,89.9,78.2,10,8
SUP-0010,2023-12,87.39,13.8,0.61,13,11,89.7,83.9,13,12
SUP-0010,2024-01,83.63,15.0,1.82,11,9,97.7,72.7,11,9
SUP-0010,2024-02,77.67,16.8,0.63,13,10,80.5,73.6,13,10
SUP-0010,2024-03,75.25,15.7,7.67,10,7,71.8,94.4,10,8
SUP-0010,2024-04,82.66,14.0,5.64,13,10,94.2,94.3,13,9
SUP-0010,2024-05,74.71,13.5,3.17,14,10,77.7,93.4,14,13
SUP-0010,2024-06,71.94,15.9,0.95,9,6,77.2,74.3,9,7
SUP-0010,2024-07,76.03,13.9,0.59,10,7,77.7,79.4,10,8
SUP-0010,2024-08,80.38,14.9,2.14,4,3,97.7,93.7,4,3
SUP-0010,2024-09,75.06,18.6,1.32,13,9,86.6,93.7,13,12
SUP-0010,2024-10,80.16,18.3,4.53,15,12,96.0,63.5,15,12
SUP-0010,2024-11,83.39,14.9,5.7,9,7,97.5,84.0,9,6
SUP-0010,2024-12,90.28,12.5,3.29,10,9,93.1,77.8,10,7
SUP-0011,2023-01,95.25,22.1,1.81,15,14,89.6,62.6,15,12
SUP-0011,2023-02,96.26,21.3,0.06,7,6,91.2,89.7,7,5
SUP-0011,2023-03,96.85,23.5,4.43,18,17,93.4,67.7,18,16
SUP-0011,2023-04,100.0,25.7,6.7,7,7,95.5,69.0,7,5
SUP-0011,2023-05,100.0,24.8,1.89,13,13,95.2,75.6,13,11
SUP-0011,2023-06,100.0,20.2,6.12,13,13,96.4,69.3,13,10
SUP-0011,2023-07,99.08,16.8,4.92,12,11,98.5,90.8,12,8
SUP-0011,2023-08,100.0,21.3,13.83,16,16,91.9,80.3,16,11
SUP-0011,2023-09,99.48,28.6,1.85,10,9,89.1,71.5,10,8
SUP-0011,2023-10,100.0,19.4,0.64,14,14,88.9,75.0,14,9
SUP-0011,2023-11,99.82,21.9,4.86,15,14,92.7,67.3,15,13
SUP-0011,2023-12,100.0,18.4,0.52,11,11,93.3,89.4,11,9
SUP-0011,2024-01,99.39,25.5,1.03,11,10,96.7,65.9,11,10
SUP-0011,2024-02,100.0,21.6,1.39,8,8,93.7,60.4,8,5
SUP-0011,2024-03,100.0,21.7,1.04,7,7,97.0,80.7,7,5
SUP-0011,2024-04,100.0,18.0,2.44,13,13,92.4,67.9,13,12
SUP-0011,2024-05,100.0,28.3,4.48,10,10,94.0,92.3,10,9
SUP-0011,2024-06,100.0,27.6,2.4,11,11,94.1,93.3,11,8
SUP-0011,2024-07,100.0,31.5,0.21,15,15,98.9,71.0,15,11
SUP-0011,2024-08,100.0,16.4,4.72,13,13,91.4,63.9,13,9
SUP-0011,2024-09,100.0,24.3,0.5,6,6,91.5,92.8,6,4
SUP-0011,2024-10,100.0,20.5,3.03,10,10,90.1,70.8,10,8
SUP-0011,2024-11,100.0,25.0,6.12,17,17,93.5,62.9,17,12
SUP-0011,2024-12,99.85,19.5,6.34,18,17,89.3,81.3,18,14
SUP-0012,2023-01,87.41,17.2,0.5,7,6,98.9,86.5,7,4
SUP-0012,2023-02,88.53,19.7,0.24,11,9,90.9,88.7,11,10
SUP-0012,2023-03,90.8,16.8,0.39,9,8,88.3,74.6,9,8
SUP-0012,2023-04,91.66,11.5,8.88,12,10,92.8,91.3,12,10
SUP-0012,2023-05,93.18,16.1,0.98,14,13,95.8,90.4,14,10
SUP-0012,2023-06,93.61,19.3,0.01,10,9,96.5,85.5,10,9
SUP-0012,2023-07,94.73,21.0,1.5,17,16,90.7,83.8,17,16
SUP-0012,2023-08,96.53,18.3,2.72,10,9,89.3,83.6,10,7
SUP-0012,2023-09,97.73,18.7,0.0,6,5,94.7,65.2,6,4
SUP-0012,2023-10,99.79,10.7,2.99,15,14,98.5,67.4,15,13
SUP-0012,2023-11,100.0,16.4,0.28,8,8,95.6,73.9,8,5
SUP-0012,2023-12,100.0,16.9,0.36,11,11,97.2,84.4,11,9
SUP-0012,2024-01,100.0,17.1,0.16,13,13,91.0,94.7,13,10
SUP-0012,2024-02,99.71,18.0,0.26,10,9,97.9,89.9,10,7
SUP-0012,2024-03,100.0,13.7,0.14,16,16,94.1,64.7,16,11
SUP-0012,2024-04,100.0,14.0,2.11,14,14,97.4,87.0,14,13
SUP-0012,2024-05,100.0,14.0,0.55,11,11,88.1,88.6,11,7
SUP-0012,2024-06,100.0,11.9,12.49,13,13,97.6,79.3,13,11
SUP-0012,2024-07,100.0,14.9,1.31,7,7,90.3,87.1,7,6
SUP-0012,2024-08,100.0,10.8,0.58,10,10,92.5,61.9,10,9
SUP-0012,2024-09,100.0,8.9,4.16,14,14,95.6,77.8,14,13
SUP-0012,2024-10,100.0,19.1,1.57,13,13,94.9,87.4,13,9
SUP-0012,2024-11,100.0,11.0,4.09,10,10,94.5,93.2,10,8
SUP-0012,2024-12,100.0,21.8,1.12,15,15,97.1,81.3,15,11
SUP-0013,2023-01,93.47,11.8,0.07,15,14,95.6,78.6,15,11
SUP-0013,2023-02,94.59,18.7,0.79,15,14,92.0,75.8,15,11
SUP-0013,2023-03,95.27,17.2,0.75,10,9,88.8,78.1,10,7
SUP-0013,2023-04,97.8,16.3,3.06,9,8,98.7,89.1,9,7
SUP-0013,2023-05,97.8,17.9,4.42,12,11,93.5,69.1,12,8
SUP-0013,2023-06,97.94,15.2,0.37,11,10,94.7,94.6,11,9
SUP-0013,2023-07,99.62,12.4,0.23,7,6,97.3,61.8,7,6
SUP-0013,2023-08,100.0,14.0,1.49,17,17,89.3,94.5,17,15
SUP-0013,2023-09,100.0,15.7,1.62,11,11,88.8,64.0,11,8
SUP-0013,2023-10,99.07,12.9,0.17,16,15,91.2,73.8,16,13
SUP-0013,2023-11,98.6,10.9,3.12,15,14,91.4,88.1,15,12
SUP-0013,2023-12,100.0,15.0,3.02,12,12,91.5,80.5,12,10
SUP-0013,2024-01,100.0,15.6,1.41,12,12,89.3,83.2,12,9
SUP-0013,2024-02,100.0,13.9,0.57,11,10,90.2,80.1,11,8
SUP-0013,2024-03,100.0,19.5,5.72,18,18,92.1,72.8,18,12
SUP-0013,2024-04,100.0,12.5,1.04,13,13,94.0,84.0,13,11
SUP-0013,2024-05,100.0,15.4,0.49,9,9,96.1,76.6,9,7
SUP-0013,2024-06,100.0,17.8,3.97,11,11,96.8,61.5,11,10
SUP-0013,2024-07,100.0,14.6,4.37,14,14,88.7,65.1,14,12
SUP-0013,2024-08,100.0,12.0,1.71,10,10,91.7,63.0,10,7
SUP-0013,2024-09,100.0,11.8,0.61,15,15,97.0,64.0,15,12
SUP-0013,2024-10,100.0,15.3,0.22,20,20,96.1,84.9,20,14
SUP-0013,2024-11,100.0,18.1,1.6,8,8,91.5,61.3,8,5
SUP-0013,2024-12,100.0,16.6,0.38,11,11,92.3,73.9,11,9
SUP-0014,2023-01,92.03,17.3,0.71,14,12,91.3,82.7,14,12
SUP-0014,2023-02,91.85,21.7,2.14,9,8,92.7,70.1,9,6
SUP-0014,2023-03,92.32,16.4,2.51,7,6,93.1,86.9,7,6
SUP-0014,2023-04,91.87,17.4,1.17,10,9,89.9,93.9,10,9
SUP-0014,2023-05,90.36,19.1,1.54,9,8,93.7,92.0,9,6
SUP-0014,2023-06,90.72,14.5,1.46,15,13,88.2,71.7,15,11
SUP-0014,2023-07,90.88,21.5,1.61,12,10,92.5,91.8,12,11
SUP-0014,2023-08,91.84,13.7,1.58,17,15,95.8,80.3,17,16
SUP-0014,2023-09,89.93,16.8,2.84,9,8,96.7,60.9,9,8
SUP-0014,2023-10,89.77,16.0,0.78,12,10,90.1,67.5,12,9
SUP-0014,2023-11,88.96,16.0,2.64,7,6,88.6,62.3,7,4
SUP-0014,2023-12,89.75,15.7,0.01,12,10,92.1,77.8,12,9
SUP-0014,2024-01,92.32,12.4,2.27,12,11,88.5,63.1,12,9
SUP-0014,2024-02,91.99,19.5,3.88,12,11,97.9,61.5,12,10
SUP-0014,2024-03,92.45,13.7,0.03,7,6,91.9,93.7,7,5
SUP-0014,2024-04,93.99,16.6,1.85,14,13,92.1,68.7,14,12
SUP-0014,2024-05,92.2,17.8,3.1,12,11,95.3,75.1,12,10
SUP-0014,2024-06,94.16,17.5,5.03,13,12,91.2,61.3,13,10
SUP-0014,2024-07,94.22,17.4,0.09,11,10,94.0,70.6,11,9
SUP-0014,2024-08,91.99,16.3,3.08,10,9,95.5,86.9,10,7
SUP-0014,2024-09,92.06,14.3,3.82,12,11,95.4,86.1,12,11
SUP-0014,2024-10,93.71,18.8,3.4,11,10,98.4,91.0,11,8
SUP-0014,2024-11,93.69,17.8,0.65,13,12,88.9,66.3,13,10
SUP-0014,2024-12,93.25,16.9,1.63,16,14,93.1,80.3,16,13
SUP-0015,2023-01,87.8,26.3,4.2,11,9,98.1,93.7,11,7
SUP-0015,2023-02,84.33,29.3,11.65,12,10,94.5,60.6,12,11
SUP-0015,2023-03,82.1,28.9,10.01,12,9,93.5,80.7,12,9
SUP-0015,2023-04,78.25,21.0,5.45,12,9,78.4,90.7,12,10
SUP-0015,2023-05,76.79,22.4,0.62,16,12,70.6,66.6,16,13
SUP-0015,2023-06,74.74,16.9,2.97,17,12,80.7,78.9,17,16
SUP-0015,2023-07,72.41,29.7,1.46,15,10,71.0,62.5,15,10
SUP-0015,2023-08,69.86,27.5,3.18,11,7,87.4,91.9,11,10
SUP-0015,2023-09,66.72,25.8,2.74,12,8,84.4,96.4,12,11
